Rang,Joueur,Pays,Elo_Actuel,Peak_Elo,Nb_Parties_Officielles,Win_Rate,Draw_Rate,Loss_Rate,Precision_Moyenne,Age,Titre,Style_Jeu,Annees_Pro
48,Igor Kovalenko,Ukraine,2669,2723,2145,44.8,48.3,6.9,91.1,36,GM,Positionnel,22
49,David Howell,England,2668,2761,2456,45.3,47.8,6.9,91.2,34,GM,Positionnel,20
50,Shant Sargsyan,Armenia,2667,2720,1234,47.2,41.3,11.5,89.6,23,GM,Hybride,9
51,Peter Leko,Hungary,2666,2763,3234,42.7,50.8,6.5,91.3,46,GM,Positionnel,31
52,Volodar Murzin,FIDE,2666,2710,789,50.6,34.2,15.2,88.5,19,GM,Agressif,5
53,Ray Robson,United States,2665,2738,2123,46.2,44.9,8.9,90.5,30,GM,Hybride,16
54,Nikita Vitiugov,England,2661,2752,2456,43.6,49.7,6.7,91.4,38,GM,Positionnel,24
55,Grigoriy Oparin,United States,2661,2715,1567,46.9,43.2,9.9,90.3,28,GM,Hybride,14
56,Ivan Saric,Croatia,2660,2738,2234,44.9,48.1,7.0,90.9,35,GM,Positionnel,21
57,Thai Dai Van Nguyen,Czech Republic,2660,2728,1123,47.3,40.1,12.6,89.7,23,GM,Hybride,9
58,Johan-Sebastian Christiansen,Norway,2659,2715,1456,46.1,44.8,9.1,90.4,27,GM,Hybride,13
59,Pavel Eljanov,Ukraine,2658,2765,2876,41.2,51.8,7.0,91.5,42,GM,Positionnel,28
60,Yagiz Kaan Erdogmus,Turkey,2657,2670,456,52.4,30.1,17.5,87.6,14,GM,Agressif,2
61,Alexey Sarana,Serbia,2656,2718,1234,47.8,42.1,10.1,89.8,25,GM,Hybride,11
62,Bogdan-Daniel Deac,Romania,2655,2725,1123,47.5,40.7,11.8,89.4,23,GM,Hybride,9
63,Rauf Mamedov,Azerbaijan,2655,2728,2567,43.2,50.1,6.7,91.0,37,GM,Positionnel,23
64,Sam Shankland,United States,2655,2731,2012,44.8,47.2,8.0,90.8,33,GM,Positionnel,19
65,Alexander Grischuk,FIDE,2655,2778,3456,40.1,55.3,4.6,92.3,41,GM,Défensif,27
66,David Navara,Czech Republic,2653,2752,2789,42.9,50.4,6.7,91.4,40,GM,Positionnel,26
67,Radoslaw Wojtaszek,Poland,2652,2749,2456,43.6,49.8,6.6,91.2,38,GM,Positionnel,24
68,Abhimanyu Mishra,United States,2652,2705,876,49.5,36.8,13.7,88.9,16,GM,Hybride,3
69,Alexander Morozevich,FIDE,2650,2758,3012,39.8,53.2,7.0,91.7,48,GM,Défensif,34
70,Jose Eduardo Martinez Alcantara,Mexico,2650,2700,1123,47.3,39.8,12.9,89.2,26,GM,Hybride,8
71,Jeffery Xiong,United States,2648,2731,1789,46.3,43.2,10.5,90.1,24,GM,Hybride,10
72,Maxim Rodshtein,Israel,2647,2737,2234,45.1,46.9,8.0,90.7,36,GM,Positionnel,22
73,Murali Karthikeyan,India,2647,2720,1456,46.8,42.5,10.7,89.9,26,GM,Hybride,12
74,Nikolas Theodorou,Greece,2647,2710,1234,46.5,41.8,11.7,89.5,25,GM,Hybride,10
75,Pranav V,India,2646,2695,678,49.1,35.2,15.7,88.3,18,GM,Hybride,4
76,Vladislav Artemiev,FIDE,2646,2720,1876,45.7,44.3,10.0,90.4,27,GM,Hybride,13
77,Michael Adams,England,2646,2761,3678,41.3,51.8,6.9,91.5,53,GM,Positionnel,39
78,Benjamin Gledura,Hungary,2646,2715,1234,46.8,42.1,11.1,89.6,26,GM,Hybride,12
79,Nils Grandelius,Sweden,2645,2742,2012,44.3,48.2,7.5,90.8,32,GM,Positionnel,18
80,Francisco Vallejo Pons,Spain,2644,2755,2934,42.3,50.8,6.9,91.6,43,GM,Positionnel,29
81,Lu Shanglei,China,2643,2725,1567,45.8,45.3,8.9,90.5,29,GM,Hybride,15
82,Gawain C.B. Maroroa Jones,England,2643,2720,1876,44.6,47.9,7.5,90.9,37,GM,Positionnel,23
83,Vladimir Malakhov,FIDE,2643,2740,2456,42.7,50.2,7.1,91.1,44,GM,Positionnel,30
84,Raunak Sadhwani,India,2642,2705,789,49.3,36.5,14.2,88.7,19,GM,Hybride,5
85,Shamsiddin Vokhidov,Uzbekistan,2641,2717,1234,46.8,41.2,12.0,89.4,23,GM,Hybride,8
86,Dmitrij Kollars,Germany,2639,2716,1456,45.9,44.8,9.3,90.2,26,GM,Hybride,12
87,Aleksandar Indjic,Serbia,2638,2718,1789,44.7,47.3,8.0,90.6,30,GM,Positionnel,16
88,Frederik Svane,Germany,2638,2700,934,47.2,39.3,13.5,89.1,21,GM,Hybride,7
89,Alexander Donchenko,Germany,2637,2720,1456,45.4,45.6,9.0,90.3,27,GM,Hybride,13
90,Alexei Shirov,Spain,2636,2755,3234,40.2,51.4,8.4,91.2,53,GM,Défensif,39
91,Boris Gelfand,Israel,2636,2777,3456,39.4,53.1,7.5,91.8,57,GM,Défensif,43
92,Jonas Buhl Bjerre,Denmark,2634,2705,789,46.5,40.1,13.4,88.9,21,GM,Hybride,7
93,Ediz Gurel,Turkey,2634,2680,456,51.1,31.4,17.5,87.8,16,GM,Agressif,3
94,Maksim Chigaev,Spain,2634,2715,1234,45.3,45.9,8.8,90.4,28,GM,Hybride,13
95,Robert Hovhannisyan,Armenia,2633,2720,1876,44.3,48.2,7.5,90.7,34,GM,Positionnel,20
96,Yuriy Kryvoruchko,Ukraine,2632,2751,2234,42.9,50.3,6.8,91.3,38,GM,Positionnel,24
97,Sanan Sjugirov,Hungary,2632,2725,1789,44.7,46.5,8.8,90.5,32,GM,Hybride,18
98,Aryan Tari,Norway,2631,2738,1456,45.9,44.2,9.9,90.1,26,GM,Hybride,12
99,David Anton Guijarro,Spain,2631,2720,1678,44.9,46.8,8.3,90.6,30,GM,Hybride,12
100,Abhimanyu Puranik,India,2630,2710,1234,46.5,41.3,12.2,89.2,25,GM,Hybride,11
